key,source,target
Content/1096837874,"





ark: выживание эволюционировало 


featring голосовые таланты: 

madeleine Madden как Хелена Уокер / Hln-A 
david Tennant в роли Эдмунда Роквелла 
VIN Diesel в роли Сантьяго Да-Коста 


created By Studio Wildcard 

jeremy Stieglitz (@Jeremystieglitz) 
lead Designer, ведущий программист, директор по развитию, директор совместного создания, соучредитель 

jesse rapczak (@arkjesse) 
art Direct Директор, директор совместного творчества, менеджер студии, соучредитель 

alex Williams 
co-лид-программист, соавтор-дизайнер 

lawrence boye 
principal художник, ведущий технический художник 

dwayne knight 
senior двигатель программист 

zane ard 
senior Game Designer 

colin tennery 
senior продюсер 

ark создается и составлена ​​Гаретом Кокером 

dave loyd 
senior технический продюсер 

waylon winn 
lead 3d Artist, Artist  Artist 

damien Bull 
environment Director, дизайнер уровня свинца 

nanavin Suphapholsiri 
senior Producer 

craig Brown 
senior Game Designer 

stephen Baker 
audio Dever Rokitka 
lead Harment/Artiure Artist 

craig Hoffman 
lead vfx Artist 

scott marison 
senior двигатель программист 

mark mihelich 
senior двигатель Programer 

david Sleeper 
senior двигатель двигатель 

john 
producer sleeper 
senior двигатель 

john 
produre 

Alex Shilts
Senior Gameplay Programmer

Colton Revia
Technical Designer, Senior Gameplay Programmer

Robert Stewart
Senior Gameplay Programmer

Christian Dennerlein
Senior Gameplay Programmer

Mike Towne
Gameplay Programmer

jim geldmacher 
senior Gameplay Progrommer 

jorge Antonio Robles 
senior Gameplay Programmer, UI/UX Programmer 

joshua hines 
technical Designer, Gameplay Programmer, Mod Community Managem Ntechnical Designer 

cedric Burkes 
lead Manager Manager 

jatheish Karunakaran 
senior Product Manager 

dollie 
product Manager 

jeffrey Seggelke 
lead qa analyst 

robert Howard 
technic n 
peter fries 
lead повествовательный писатель (Genesis 2) 

alex laurant 
art Director (ARK 2) 

david Perfect 
gameplay Programmer 

jorge Jimenez 
build Engineer 

david Miller 
senior Designer Designer Designer 

jackson Lawrence 
level Designer 

michael buettner 
senior персонаж Технический художник 

gabriel robbins 
senior level reageer 

morgan roberts 
level 

ben burkart 
senior level Designer 

joslynn gabel 
level Designer 

chris gardner 
web & Production Lead 

tianyi Zhao 
gameplay Programmer 

jack Bogaard 
senior Gameplay Programerm 
matt kenley 
animator 

todd harry 
senior amimator 

brandon carpenter 
senior amanator 

jerome pourchier 
senior 3d Artist 

liam Stones 
3d Artist 

trevor Taylor 
senior 3d Artist 



3d 

trevor taylor 
senior 3d 

duncan Reed 
3d Prop Artist 

chandler Whalen 
3d Artist 

noah presnell 
environment Artist 

patrick moore 
environment at artiv nbarry sundt 
senior персонаж/художник существа 

chrles kim 
senior histr 

andy chin 
creature artist 

jimmy wu 
vfx astral Художник 

corey ross 
character Технический художник 

bristol Lakshas sanatu 
technical Artist 

Chad Greene 
senior Lighting Artist 

alejandro alvarez 
illustrator, концепт -артист 

jesus 
senior artist 


caleb havertape 
concept artist 

clayton d'emello 
concept at artaint 

jesse raymond 
ui/ux дизайнер 

marco mccreadie 
senior qa analyst 

lucy carter 
senior qa analyst 

john fiorentin Аналитик, помощник младшего дизайнера 

jake moriarty 
qa -аналитик, помощник младшего дизайнера 

yue shen 
qa analyst 

eco 
qa analyst 

desmond bailey 
qa analyst 

debby «Деббисавр» де -Йонг  Analyst NQA 

ADAM GRAHAM 
LIVE OPERATIONS, Administrator Administrator 

JAMES 
LEAD ANALANIST 

LEO M 
ENFORCEARCE Analyst 

ADRIAN K 
ENFRICEMERA 
michael j 
enforcement Analyst 

eli yabut 
assistant Manager 

chris willoughby 
senior Game Programer/Designer 

jorge montolio 
technical Designer 

thomas Huynh 
senior Montolio 
judd Cohen 
gameplay программ 

derek Holson 
level Designer 

lee amarakoon 
senior vfx Artist 

nick Rudolp Engineer

Gabriel Holmes
AI Gameplay Programmer

Martin Wong
Gameplay Programmer

Kenny Lammers
Senior Technical Artist

Henry Dai
Gameplay Programmer

David Noonan
Writer

Kayd Hendricks
Senior Designer , QA Analyst 

william Tate 
3d Artist 

randal Shaffer 
3d Artist 

mike Rodriguez 
senior Environment Artist 

olivier""Bil "" Leeman 
senior vfx Artist 

jason Zhao 
technical Artist , VFX Artist 

todd widdup 
senior технический художник 

stephen Coan 
technical Artist 

katenyn malmsten 
junior Технический художник 

peter lim 
technical Designeer 

travis Howe 
animator 
jeremy riccione 

travis Howe 
animator 
jeremy riccione 

travis Howe 
animator 
jeremy  riccione 
travis 
animator 
jeremy Наниматор 

matt janz 
level Designer 

marc soskin 
writer 

jennifer stuber 
community Manager, QA -аналитик 

joshua mosman 
community support 

ryan lynch 
enforment Analyst 

luke Brehminity 

rynch 
enforment Analyst 

luke Brehminity Менеджер 

lindsay Sweeten 
office Manager, Hr 

forest rapczak 
office Manager, Event и Community Relations 

doug kennedy 
ceo, соучредитель 

jack tretton 
strategy 

susan stieglitz 
business Менеджер, соучредитель 

reverb Communications 
pr 

------------------ 

ark: Ultimate Survivor Edition 

develoded By Grove Street Games 

thomas williamson 
ceo 

michael owen 
cto 

morgan hughes 
coo 

tom Dicesare 
senior Gameplay Programmer 

vince mohan 
kale 

carl milazzo 
gameplay Programm Criste 
technical Artist 

kristin  thorn  t 
environment Artist 

jordan kleeman 
producer 

trent fraley 
qa analyst 
 t 
beck michaels  t 
3d Artist 

aaron ruel 
system Ingenerer 

kahliek clemmons 
3d Artist 

david gregoire 
community Manager 

daniel gregoire 
qa Analyst 
 t 
holly owen 
office Manager 

sheamus cooper 
gameplay Programmer 

kim Lopez 
QA Analynels 

justin huffaker 
qa analyst 

yolanda patino 
technical Artist 

jack steinhilber 
community Manager 

emma bailly 
art nstudio 

john David Peterson 
build Engineer 

emily Hobbs 
studio Manager 

natalia wollschlaeger 
qa analyst 

kyle bess 
qa analist 

aleah brown 
art near 

brie cournoyer 
art near 

------------------------------------------------------------------------------------------- --- 

additional Sound Design & Audio Content 

bad Words Labs 
dynamamedion 
voice Направление поддержка Уэса Глисона, Джеймса Балданзи и Bang Zoom Studios 

------------- ------- 

'the Island Designs Creasure от Ashton Andersen & Virtual Basement Llc 

------------------ 

additional Содержание искусства 

omar saretzky 
3d Artist 

matthew Benson 
fx Artist 
nexodus 

henrique lopes 
3d Artist 

phu giang 
concept 

----------- -------- 

additional Content & Development By efecto Studios 

eivar rojas 
project 

sergio buenaventura 
production 

juan camilo ovalle 
3d artist 

esteban plazas 
3d художник 

yei Bodmer 
3d Artist 

felipe ladino 
3d near artist 

érik páez 
3d Artist 

alejandro henao 
3d Artist 

israel Arciniegas 
3d Artist Interne 

juan José jimenez 
3d Художник intern 

mauricio pachon 
rigger 

sebastián kowoll 
concept 

miguel posada 
gameplay Programerm 
lead 3d Artist 

diego mariño 
lead animator 

dahvid cuevas 
lead aminator 

jonathan garcia 
aminator 

andrés martínez 
lead concept/ui astrment 

andrés montealegre 
conect n 
andrés Botero 
level Designer 

mauricio fernández 
level Designer 

érika rincón 
character animator 

felix joleanes 
level Дизайнер 3d ariza 

javier lópez 
character amentautom n 
andrés Romero 
3d Artist 

andrés naranjo 
3d Artist 

rachid elajiek 
3d Artist 

juan camilo ovalle 
3d atrast 

sergio veldia 
3d 

william 
cfo 

johana Garzon 
human Resources 

------------------ 

ADDITIONAL PLAMERD Поддержка Armature Studio & Abstraction Games 

------- ----------- 

co-разработка инстинктивными играми 

Listafa Hafez 
technical Director/Head Designer 

mohamed Seif 
lead Programmer 

mohammad yusuf 
senior Programmer 

ahmed el meshry 
senior programmer 

ossama moussa 
senior programmer 

mohamed el gannam 
programmer 

ahmed abdelhay 
programmer 

omar gad 
testing свинцовый/игровой дизайн 

youssef ahmed 
senior qa a -аналитик n 
mohamed ahmed 
qa analyst 

nada hafez 
qa analyst 

mai seif 
administration/hr 

------------------ 

ark Дополнительные аналитики QA 

luke «GG Fizz» Delaura 
daniel Eder 
isolde Gaming 
ricardo neudewitz 

------------------ 

ark Support Gm's Support 

bobby henson 
amber stamey 
gabriel hyde 
joshua evanski 
dan han 
jacqueline pablo 
anthony carrube 
sherwin chi 
joshua park 
ryan magallanes 

------------------- ---- 

ark Community PlayStesters/Qa 
you're лучше 
joe brammah 
ard rhys 
anton shikhov 
avi301 
avios 
brittney""ayukyo "" Kingsley 
desi bailey 
bryce farnes 
bt gaming 
valery sinica"" neli y 
grant garrett 
commanging 
dakhar 
alberto""darqknite "" aguilera 
darryl hulson 
demonichunterr 
divine 
ebeing 
davey blyweert 
evan garcia""ino "" bernard 
lucy""evzael Reurink II 
Trent McCarthy
GamerPerfection
HippieKid
Hygen
Chandler ""Itsr2ghgaming"" Ruffing
Mark Shotwell
Jynn Goughler
Kaedankitty
Kai Cent
Lea ""Katti"" Lucas
Jaskari
Gabriel Lipper
Aaron Kinney
KurisuBaka
Lauren McKenzie
Lucaine Sharp
MalikaPlays
Mr Dolphin
Hunter ""MrMackeyMKayyy"" Gossett
Stephan ""Natsu"" Riedel
Jonatan Martín Garcia
NeoUSMCVet
Ness
TheNetherAngel
""Omega"" van Loon
Sébastien Vinet
Peekaboo
troy pepper 
brandan abbott 
oliver""Quantor "" louis 
stephani rabbitheart 
paige teel 
samson 
jeff""seggzy "" seggelke 
serendipity 
shadow 
sharice 
bryan 
sicco0803 
simego 
sime 
simemy 
sime 
sime 
sime 
simemy 
sime 
sime 
smimim""Заместитель "" Стрикленд 
stephen Hall 
tamaster 
terry""tezling "" bates 
tgl 
garrett davy 
clement""tik "" hubert 
gustavo souza 
michael""twitchy-mc "" brown 
tyler 
chris""Umrotzer "" reimer 
jaime""Unis "" Pelletier 
matt webster 
carlos""usatwitch "" 
vohjiin 
zadira 
emily sederstrom 
lyees возраст 
exo 
jerhevon 
lyricgrr 
brett слабо 
dan""dododex "" Leveille 
sparcmx 
joe Grace 
ark Wiki Team 

------------------ 

extra life ark superfans / partners 

dakhar 
windxiv 
x3bellex3 
jcpepper 
pmsproxy 

------------------ 

extra Special благодаря YouTube. com/nerdout для их треков текстов Ark. 

------------------ 

thank вы все за то, что вы играете в Ark, выжившие! 

www.surviveHeark. com 

experience Сага Хелена Уокер, Мей Инь Ли, Эдмунд Роквелл, Сантьяго да Коста, 
and больше легенд, воплощенных в жизнь в Арк: Анимационный сериал, 2023 год!",
Content/602683638,"
Эта экспедиция на Белоснежный пик была просто великолепной, от и до. Погода была чудесной, я нашел превосходные образцы цветов, а местные охотники добыли столько рогов шерстистого носорога, что вы не можете себе даже представить.

Мне даже удалось найти добровольцев для моего последнего эксперимента! Оказывается, это всего лишь вопрос лингвистики: те, кто насторожено относится к экспериментальным зельям, гораздо более позитивно воспринимают экспериментальную еду. После того, как моя ""эндотермическая паста"" была переименована в ""фриа карри"", люди изъявили большое желание попробовать такое блюдо. Фриа карри имеет умеренную питательную ценность, так что технически это не обман. Это просто хороший подбор слов во имя прогресса, вот и все. Вполне нравственно.",
Content/2572537408,"
[Ускорение невозможно использовать в Симуляции Генезис]",
Content/4185902309,"
[Реактивный ранец невозможно использовать в Симуляции Генезис]",
Content/3527735896,"
[Удар невозможно использовать в Симуляции Генезис]",
Content/2172022818,  ,
Content/2976891608, Открытая карта ,
Content/492646794, SaveWorld ,
Content/3534259006, 012201211120113021223 <br> <br> 1012120112031211230122113101321 <BR> <br> 1010121112031223 <br> 10331202130312111302131212011310122,
Content/2147153405, 012201211120113021223 <BR> 10001303131113021312122113121211131,
